"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",hibernate-validator-5.3.4.Final.jar,C:\Users\filip\.m2\repository\org\hibernate\hibernate-validator\5.3.4.Final\hibernate-validator-5.3.4.Final.jar,Hibernate's Bean Validation (JSR-303) reference implementation.,http://www.apache.org/licenses/LICENSE-2.0.txt,540c4f2374a74674f00e2f2691bb2cce,2f6c8c0b646afe18e3ad205726729d3c4a85fe2e,pkg:maven/org.hibernate/hibernate-validator@5.3.4.Final,cpe:2.3:a:redhat:hibernate_validator:5.3.4:*:*:*:*:*:*:*,CVE-2020-10693,CWE-20 Improper Input Validation,"A flaw was found in Hibernate Validator version 6.1.2.Final. A bug in the message interpolation processor enables invalid EL expressions to be evaluated as if they were valid. This flaw allows attackers to bypass input sanitation (escaping, stripping) controls that developers may have put in place when handling user-controlled data in error messages.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:N,MEDIUM,5.3,/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,34
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",httpclient-4.5.3.jar,C:\Users\filip\.m2\repository\org\apache\httpcomponents\httpclient\4.5.3\httpclient-4.5.3.jar,Apache HttpComponents Client,"",1965ebb7aca0f9f8faaed3870d8cf689,d1577ae15f01ef5438c5afc62162457c00a34713,pkg:maven/org.apache.httpcomponents/httpclient@4.5.3,cpe:2.3:a:apache:httpclient:4.5.3:*:*:*:*:*:*:*,CVE-2020-13956,NVD-CWE-noinfo,Apache HttpClient versions prior to version 4.5.13 and 5.0.3 can misinterpret malformed authority component in request URIs passed to the library as java.net.URI object and pick the wrong target host for request execution.,NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:N,MEDIUM,5.3,/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,34
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",itext-2.1.7.jar,C:\Users\filip\.m2\repository\com\lowagie\itext\2.1.7\itext-2.1.7.jar,"iText, a free Java-PDF library",Mozilla Public License: http://www.mozilla.org/MPL/MPL-1.1.html,7587a618197a065eac4a453d173d4ed6,892bfb3e97074a61123b3b2d7caa2db112750864,pkg:maven/com.lowagie/itext@2.1.7,"",CVE-2017-9096,CWE-611 Improper Restriction of XML External Entity Reference ('XXE'),"The XML parsers in iText before 5.5.12 and 7.x before 7.0.3 do not disable external entities, which might allow remote attackers to conduct XML external entity (XXE) attacks via a crafted PDF.",OSSINDEX,"","","",HIGH,8.8,/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,HIGH,22
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",jackson-databind-2.8.7.jar,C:\Users\filip\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.8.7\jackson-databind-2.8.7.jar,General data-binding functionality for Jackson: works on core streaming API,http://www.apache.org/licenses/LICENSE-2.0.txt,fb6e31b050960abe2cdbcc7623fd21f5,6c3257ef458ac58a8da69a6dca3d2a15286d88c8,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.8.7,cpe:2.3:a:fasterxml:jackson-databind:2.8.7:*:*:*:*:*:*:*,CVE-2017-15095,CWE-502 Deserialization of Untrusted Data,"A deserialization flaw was discovered in the jackson-databind in versions before 2.8.10 and 2.9.1, which could allow an unauthenticated user to perform code execution by sending the maliciously crafted input to the readValue method of the ObjectMapper. This issue extends the previous flaw CVE-2017-7525 by blacklisting more classes that could be used maliciously.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,40
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",jackson-databind-2.8.7.jar,C:\Users\filip\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.8.7\jackson-databind-2.8.7.jar,General data-binding functionality for Jackson: works on core streaming API,http://www.apache.org/licenses/LICENSE-2.0.txt,fb6e31b050960abe2cdbcc7623fd21f5,6c3257ef458ac58a8da69a6dca3d2a15286d88c8,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.8.7,cpe:2.3:a:fasterxml:jackson-databind:2.8.7:*:*:*:*:*:*:*,CVE-2017-17485,CWE-502 Deserialization of Untrusted Data,"FasterXML jackson-databind through 2.8.10 and 2.9.x through 2.9.3 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 deserialization flaw. This is exploitable by sending maliciously crafted JSON input to the readValue method of the ObjectMapper, bypassing a blacklist that is ineffective if the Spring libraries are available in the classpath.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,40
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",jackson-databind-2.8.7.jar,C:\Users\filip\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.8.7\jackson-databind-2.8.7.jar,General data-binding functionality for Jackson: works on core streaming API,http://www.apache.org/licenses/LICENSE-2.0.txt,fb6e31b050960abe2cdbcc7623fd21f5,6c3257ef458ac58a8da69a6dca3d2a15286d88c8,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.8.7,cpe:2.3:a:fasterxml:jackson-databind:2.8.7:*:*:*:*:*:*:*,CVE-2017-7525,CWE-184 Incomplete Blacklist,"A deserialization flaw was discovered in the jackson-databind, versions before 2.6.7.1, 2.7.9.1 and 2.8.9, which could allow an unauthenticated user to perform code execution by sending the maliciously crafted input to the readValue method of the ObjectMapper.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,40
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",jackson-databind-2.8.7.jar,C:\Users\filip\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.8.7\jackson-databind-2.8.7.jar,General data-binding functionality for Jackson: works on core streaming API,http://www.apache.org/licenses/LICENSE-2.0.txt,fb6e31b050960abe2cdbcc7623fd21f5,6c3257ef458ac58a8da69a6dca3d2a15286d88c8,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.8.7,cpe:2.3:a:fasterxml:jackson-databind:2.8.7:*:*:*:*:*:*:*,CVE-2018-11307,CWE-502 Deserialization of Untrusted Data,"An issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.5. Use of Jackson default typing along with a gadget class from iBatis allows exfiltration of content. Fixed in 2.7.9.4, 2.8.11.2, and 2.9.6.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,40
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",jackson-databind-2.8.7.jar,C:\Users\filip\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.8.7\jackson-databind-2.8.7.jar,General data-binding functionality for Jackson: works on core streaming API,http://www.apache.org/licenses/LICENSE-2.0.txt,fb6e31b050960abe2cdbcc7623fd21f5,6c3257ef458ac58a8da69a6dca3d2a15286d88c8,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.8.7,cpe:2.3:a:fasterxml:jackson-databind:2.8.7:*:*:*:*:*:*:*,CVE-2018-12022,CWE-502 Deserialization of Untrusted Data,"An issue was discovered in FasterXML jackson-databind prior to 2.7.9.4, 2.8.11.2, and 2.9.6. When Default Typing is enabled (either globally or for a specific property), the service has the Jodd-db jar (for database access for the Jodd framework) in the classpath, and an attacker can provide an LDAP service to access, it is possible to make the service execute a malicious payload.",NVD,MEDIUM,5.1,/AV:N/AC:H/Au:N/C:P/I:P/A:P,HIGH,7.5,/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,HIGH,40
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",jackson-databind-2.8.7.jar,C:\Users\filip\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.8.7\jackson-databind-2.8.7.jar,General data-binding functionality for Jackson: works on core streaming API,http://www.apache.org/licenses/LICENSE-2.0.txt,fb6e31b050960abe2cdbcc7623fd21f5,6c3257ef458ac58a8da69a6dca3d2a15286d88c8,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.8.7,cpe:2.3:a:fasterxml:jackson-databind:2.8.7:*:*:*:*:*:*:*,CVE-2018-12023,CWE-502 Deserialization of Untrusted Data,"An issue was discovered in FasterXML jackson-databind prior to 2.7.9.4, 2.8.11.2, and 2.9.6. When Default Typing is enabled (either globally or for a specific property), the service has the Oracle JDBC jar in the classpath, and an attacker can provide an LDAP service to access, it is possible to make the service execute a malicious payload.",NVD,MEDIUM,5.1,/AV:N/AC:H/Au:N/C:P/I:P/A:P,HIGH,7.5,/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,HIGH,40
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",jackson-databind-2.8.7.jar,C:\Users\filip\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.8.7\jackson-databind-2.8.7.jar,General data-binding functionality for Jackson: works on core streaming API,http://www.apache.org/licenses/LICENSE-2.0.txt,fb6e31b050960abe2cdbcc7623fd21f5,6c3257ef458ac58a8da69a6dca3d2a15286d88c8,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.8.7,cpe:2.3:a:fasterxml:jackson-databind:2.8.7:*:*:*:*:*:*:*,CVE-2018-14718,CWE-502 Deserialization of Untrusted Data,FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code by leveraging failure to block the slf4j-ext class from polymorphic deserialization.,NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,40
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",jackson-databind-2.8.7.jar,C:\Users\filip\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.8.7\jackson-databind-2.8.7.jar,General data-binding functionality for Jackson: works on core streaming API,http://www.apache.org/licenses/LICENSE-2.0.txt,fb6e31b050960abe2cdbcc7623fd21f5,6c3257ef458ac58a8da69a6dca3d2a15286d88c8,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.8.7,cpe:2.3:a:fasterxml:jackson-databind:2.8.7:*:*:*:*:*:*:*,CVE-2018-14719,CWE-502 Deserialization of Untrusted Data,FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code by leveraging failure to block the blaze-ds-opt and blaze-ds-core classes from polymorphic deserialization.,NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,40
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",jackson-databind-2.8.7.jar,C:\Users\filip\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.8.7\jackson-databind-2.8.7.jar,General data-binding functionality for Jackson: works on core streaming API,http://www.apache.org/licenses/LICENSE-2.0.txt,fb6e31b050960abe2cdbcc7623fd21f5,6c3257ef458ac58a8da69a6dca3d2a15286d88c8,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.8.7,cpe:2.3:a:fasterxml:jackson-databind:2.8.7:*:*:*:*:*:*:*,CVE-2018-14720,"CWE-611 Improper Restriction of XML External Entity Reference ('XXE'), CWE-502 Deserialization of Untrusted Data",FasterXML jackson-databind 2.x before 2.9.7 might allow attackers to conduct external XML entity (XXE) attacks by leveraging failure to block unspecified JDK classes from polymorphic deserialization.,NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,40
